id,cityname,value,href,tooltip.content
TWN1156,Kaohsiung City,0,#,"<span style=\""font-weight:bold\"">高雄市</span>"
TWN1158,Pingtung,0,#,"<span style=\""font-weight:bold\"">屏東縣</span>"
TWN1160,Tainan City,0,#,"<span style=\""font-weight:bold\"">台南市</span>"
TWN1161,Hsinchu City,0,#,"<span style=\""font-weight:bold\"">新竹市</span>"
TWN1162,Hsinchu,0,#,"<span style=\""font-weight:bold\"">新竹縣</span>"
TWN1163,Yilan,0,#,"<span style=\""font-weight:bold\"">宜蘭縣</span>"
TWN1164,Keelung City,0,#,"<span style=\""font-weight:bold\"">基隆市</span>"
TWN1165,Miaoli,0,#,"<span style=\""font-weight:bold\"">苗栗國</span>"
TWN1166,Taipei City,0,#,"<span style=\""font-weight:bold\"">台北市</span>"
TWN1167,New Taipei City,0,#,"<span style=\""font-weight:bold\"">新北市</span>"
TWN1168,Taoyuan,0,#,"<span style=\""font-weight:bold\"">桃園市</span>"
TWN1169,Changhua,0,#,"<span style=\""font-weight:bold\"">彰化縣</span>"
TWN1170,Chiayi,0,#,"<span style=\""font-weight:bold\"">嘉義縣</span>"
TWN1171,Chiayi City,0,#,"<span style=\""font-weight:bold\"">嘉義市</span>"
TWN1172,Hualien,0,#,"<span style=\""font-weight:bold\"">花蓮國</span>"
TWN1173,Nantou,0,#,"<span style=\""font-weight:bold\"">南投縣</span><br>不口交</br>"
TWN1174,Taichung City,0,#,"<span style=\""font-weight:bold\"">台中市</span>"
TWN1176,Yunlin,0,#,"<span style=\""font-weight:bold\"">雲林縣</span>"
TWN1177,Taitung,0,#,"<span style=\""font-weight:bold\"">台東縣</span>"
TWN3414,Penghu,0,#,"<span style=\""font-weight:bold\"">澎湖縣</span>"
TWN3415,Kinmen,Kinmen,#,"<span style=\""font-weight:bold\"">金門縣</span>"
TWN5128,Lienchiang,0,#,"<span style=\""font-weight:bold\"">連江縣</span>"